reference,kubetableinfo,_tablename,bpchar(64),NOT NULL,PRIMARY KEY
reference,kubetableinfo,_version,int8,NOT NULL,
reference,kubetableinfo,_createdtime,int8,NOT NULL,
reference,kubetableinfo,_updatetime,int8,NOT NULL,
reference,kubetableinfo,_durationmin,int8,NULL,
reference,kubemanagerinfo,_managerid,serial,NOT NULL,PRIMARY KEY
reference,kubemanagerinfo,_managername,text,NOT NULL,
reference,kubemanagerinfo,_desc,text,NULL,
reference,kubemanagerinfo,_ip,text,NOT NULL,
reference,kubemanagerinfo,_createdtime,int8,NOT NULL,
reference,kubemanagerinfo,_updatetime,int8,NOT NULL,
reference,kubeclusterinfo,_clusterid,serial,NOT NULL,PRIMARY KEY
reference,kubeclusterinfo,_managerid,int8,NOT NULL,
reference,kubeclusterinfo,_clustername,text,NOT NULL,
reference,kubeclusterinfo,_desc,text,NULL,
reference,kubeclusterinfo,_ip,text,NOT NULL,
reference,kubeclusterinfo,_createdtime,int8,NOT NULL,
reference,kubeclusterinfo,_updatetime,int8,NOT NULL,
reference,kuberesourceinfo,_resourceid,serial,NOT NULL,PRIMARY KEY
reference,kuberesourceinfo,_clusterid,int8,NOT NULL,
reference,kuberesourceinfo,_resourcename,text,NOT NULL,
reference,kuberesourceinfo,_apiclass,text,NOT NULL,
reference,kuberesourceinfo,_version,text,NOT NULL,
reference,kuberesourceinfo,_endpoint,text,NOT NULL,
reference,kuberesourceinfo,_enabled,int8,NOT NULL,DEFAULT 1
reference,kuberesourceinfo,_createdtime,int8,NOT NULL,
reference,kuberesourceinfo,_updatetime,int8,NOT NULL,
reference,kubescinfo,_scid,serial,NOT NULL,PRIMARY KEY
reference,kubescinfo,_clusterid,int8,NOT NULL,
reference,kubescinfo,_scname,text,NOT NULL,
reference,kubescinfo,_uid,text,NOT NULL,
reference,kubescinfo,_starttime,int8,NOT NULL,
reference,kubescinfo,_provisioner,text,NULL
reference,kubescinfo,_reclaimpolicy,text,NULL
reference,kubescinfo,_volumebindingmode,text,NULL
reference,kubescinfo,_allowvolumeexp,text,NULL
reference,kubescinfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubescinfo,_createdtime,int8,NOT NULL,
reference,kubescinfo,_updatetime,int8,NOT NULL,
reference,kubensinfo,_nsid,serial,NOT NULL,PRIMARY KEY
reference,kubensinfo,_clusterid,int8,NOT NULL,
reference,kubensinfo,_nsname,text,NOT NULL,
reference,kubensinfo,_status,text,NULL
reference,kubensinfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubensinfo,_createdtime,int8,NOT NULL,
reference,kubensinfo,_updatetime,int8,NOT NULL,
reference,kubenodeinfo,_nodeid,serial,NOT NULL,PRIMARY KEY
reference,kubenodeinfo,_managerid,int8,NOT NULL,
reference,kubenodeinfo,_clusterid,int8,NOT NULL,
reference,kubenodeinfo,_nodeuid,text,NOT NULL,
reference,kubenodeinfo,_nodename,text,NULL,
reference,kubenodeinfo,_nodenameext,text,NULL,
reference,kubenodeinfo,_nodetype,text,NULL,
reference,kubenodeinfo,_enabled,int8,NOT NULL,
reference,kubenodeinfo,_state,int8,NOT NULL,
reference,kubenodeinfo,_connected,int8,NOT NULL,
reference,kubenodeinfo,_starttime,int8,NOT NULL,
reference,kubenodeinfo,_kernelversion,text,NULL,
reference,kubenodeinfo,_osimage,text,NULL,
reference,kubenodeinfo,_osname,text,NULL,
reference,kubenodeinfo,_containerruntimever,text,NULL,
reference,kubenodeinfo,_kubeletver,text,NULL,
reference,kubenodeinfo,_kubeproxyver,text,NULL,
reference,kubenodeinfo,_cpuarch,text,NULL,
reference,kubenodeinfo,_cpucount,int8,NULL,
reference,kubenodeinfo,_ephemeralstorage,int8,NULL,
reference,kubenodeinfo,_memorysize,int8,NULL,
reference,kubenodeinfo,_pods,int8,NULL,
reference,kubenodeinfo,_ip,text,NULL,
reference,kubenodeinfo,_createdtime,int8,NOT NULL,
reference,kubenodeinfo,_updatetime,int8,NOT NULL,
reference,kubenodesyscoinfo,_syscontainerid,serial,NOT NULL,PRIMARY KEY
reference,kubenodesyscoinfo,_nodeid,int8,NOT NULL,
reference,kubenodesyscoinfo,_containername,text,NOT NULL,
reference,kubenodesyscoinfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubenodesyscoinfo,_createdtime,int8,NOT NULL,
reference,kubenodesyscoinfo,_updatetime,int8,NOT NULL,
